,,,Overall,Overall,Overall,Conference,Conference,Conference,,,,,,,,,,
Rk,Season,Conf,W,L,W-L%,W,L,W-L%,SRS,SOS,PTS,PTS,AP Pre,AP High,AP Final,NCAA Tournament,Seed,Coach(es)
46,1975-76,Big Ten,32,0,1.000,18,0,1.000,26.53,9.22,82.1,64.8,1,1,1,Won National Final,,Bob Knight (32-0)
47,1974-75,Big Ten,31,1,.969,18,0,1.000,28.66,6.53,88.0,65.9,3,1,3,Lost Regional Final,,Bob Knight (31-1)
48,1973-74,Big Ten,23,5,.821,12,2,.857,17.61,6.00,76.9,65.3,3,3,9,,,Bob Knight (23-5)
49,1972-73,Big Ten,22,6,.786,11,3,.786,16.57,8.42,78.0,69.8,,4,6,Lost National Semifinal,,Bob Knight (22-6)
50,1971-72,Big Ten,17,8,.680,9,5,.643,10.28,3.61,73.6,67.1,,5,17,,,Bob Knight (17-8)
51,1970-71,Big Ten,17,7,.708,9,5,.643,7.96,3.79,90.8,86.1,16,11,,,,Lou Watson (17-7)
52,1969-70,Big Ten,7,17,.292,3,11,.214,1.72,6.43,84.5,89.2,,,,,,Jerry Oliver (7-17)
53,1968-69,Big Ten,9,15,.375,4,10,.286,4.50,8.00,81.1,84.6,,,,,,Lou Watson (9-15)
54,1967-68,Big Ten,10,14,.417,4,10,.286,0.64,2.27,80.6,82.3,,3,,,,Lou Watson (10-14)
55,1966-67,Big Ten,18,8,.692,10,4,.714,7.26,3.30,81.7,77.3,,,,Lost Regional Semifinal,,Lou Watson (18-8)
56,1965-66,Big Ten,8,16,.333,4,10,.286,1.54,6.15,77.3,81.2,,,,,,Lou Watson (8-16)
57,1964-65,Big Ten,19,5,.792,9,5,.643,18.55,6.63,91.7,79.8,,2,,,,Branch McCracken (19-5)
58,1963-64,Big Ten,9,15,.375,5,9,.357,7.66,7.48,84.7,83.9,,,,,,Branch McCracken (9-15)
59,1962-63,Big Ten,13,11,.542,9,5,.643,6.98,6.27,84.7,84.0,,8,,,,Branch McCracken (13-11)
60,1961-62,Big Ten,13,11,.542,7,7,.500,5.25,6.21,87.0,88.0,,,,,,Branch McCracken (13-11)
61,1960-61,Big Ten,15,9,.625,8,6,.571,7.81,5.81,75.5,71.4,,4,,,,Branch McCracken (15-9)
62,1959-60,Big Ten,20,4,.833,11,3,.786,14.94,6.11,83.2,73.1,,7,7,,,Branch McCracken (20-4)
63,1958-59,Big Ten,11,11,.500,7,7,.500,8.78,5.92,79.5,76.6,,15,,,,Branch McCracken (11-11)
64,1957-58,Big Ten,13,11,.542,10,4,.714,7.41,6.04,79.8,78.4,,12,12,Lost Regional Semifinal,,Branch McCracken (13-11)
65,1956-57,Big Ten,14,8,.636,10,4,.714,8.90,5.37,77.4,73.0,,10,,,,Branch McCracken (14-8)
66,1955-56,Big Ten,13,9,.591,6,8,.429,10.67,7.35,81.8,78.5,,12,,,,Branch McCracken (13-9)
67,1954-55,Big Ten,8,14,.364,5,9,.357,4.44,7.81,75.9,79.2,,6,,,,Branch McCracken (8-14)
68,1953-54,Big Ten,20,4,.833,12,2,.857,17.50,9.17,75.5,67.2,,1,4,Lost Regional Semifinal,,Branch McCracken (20-4)
69,1952-53,Big Ten,23,3,.885,17,1,.944,19.98,8.29,81.2,69.5,,1,1,Won National Final,,Branch McCracken (23-3)
70,1951-52,Big Ten,16,6,.727,9,5,.643,12.19,5.33,73.7,66.8,,4,,,,Branch McCracken (16-6)
71,1950-51,Big Ten,19,3,.864,12,2,.857,16.94,5.85,64.5,53.3,,3,7,,,Branch McCracken (19-3)
72,1949-50,Big Ten,17,5,.773,7,5,.583,11.97,4.97,64.5,56.5,,4,20,,,Branch McCracken (17-5)
73,1948-49,Big Ten,14,8,.636,6,6,.500,,,54.3,49.5,,,,,,Branch McCracken (14-8)
74,1947-48,Big Ten,8,12,.400,3,9,.250,,,55.7,53.4,,,,,,Branch McCracken (8-12)
75,1946-47,Big Ten,12,8,.600,8,4,.667,,,,,,,,,,Branch McCracken (12-8)
76,1945-46,Big Ten,18,3,.857,9,3,.750,,,,,,,,,,Harry Good (18-3)
